날짜,종가,시가,고가,저가,거래량,변동 %,log_price,12m_log_return,z_score
2004-01-01,848.5,816.26,873.61,813.63,7.63B,4.66%,6.743470084674281,,
2004-02-01,883.42,850.28,890.51,834.70,9.66B,4.12%,6.783800738706919,,
2004-03-01,880.5,892.57,910.67,822.05,9.65B,-0.33%,6.7804899279362605,,
2004-04-01,862.84,878.78,939.52,854.39,8.78B,-2.01%,6.760229274126516,,
2004-05-01,803.84,863.03,876.30,716.95,6.75B,-6.84%,6.6894002443997245,,
2004-06-01,785.79,807.55,820.87,729.06,8.42B,-2.25%,6.666689581158936,,
2004-07-01,735.34,784.85,792.77,717.77,7.89B,-6.42%,6.600332977287377,,
2004-08-01,803.57,730.61,815.05,713.99,6.94B,9.28%,6.689064300237949,,
2004-09-01,835.09,803.51,863.19,801.58,7.21B,3.92%,6.727539503473669,,
2004-10-01,834.84,835.50,896.24,801.01,6.81B,-0.03%,6.7272400897235505,,
2004-11-01,878.06,832.52,891.71,831.32,6.41B,5.18%,6.777714928430082,,
2004-12-01,895.92,874.47,896.10,838.10,6.71B,2.03%,6.797851123274438,,
2005-01-01,932.7,896.00,934.10,866.17,8.29B,4.11%,6.838083605732818,0.0946135210585366,0.1311480889552923
2005-02-01,1011.36,930.16,"1,011.65",918.44,8.56B,8.43%,6.919051238723989,0.13525050001706962,0.3301234721783752
2005-03-01,965.68,"1,015.16","1,025.08",946.41,13.03B,-4.52%,6.872832516392871,0.09234258845661092,0.12002866776989751
2005-04-01,911.3,963.78,996.90,902.88,8.54B,-5.63%,6.814872151502081,0.05464287737556539,-0.06456464236285288
2005-05-01,970.21,916.48,972.17,910.72,6.67B,6.46%,6.8775125429111625,0.18811229851143807,0.5889566060097895
2005-06-01,1008.16,964.08,"1,010.91",963.78,8.52B,3.91%,6.915882166193746,0.2491925850348098,0.8880308415912607
2005-07-01,1111.29,"1,003.56","1,113.43","1,002.38",13.62B,10.23%,7.0132767816808546,0.41294380439347744,1.6898242440581603
2005-08-01,1083.33,"1,113.90","1,137.46","1,055.54",9.67B,-2.52%,6.987794909727863,0.2987306094899136,1.1305894090016704
2005-09-01,1221.01,"1,093.47","1,238.72","1,092.14",9.19B,12.71%,7.107433664085357,0.3798941606116877,1.5279995783127471
2005-10-01,1158.11,"1,228.03","1,246.41","1,137.23",9.70B,-5.15%,7.054544644985968,0.3273045552624172,1.2704992142084286
2005-11-01,1297.44,"1,165.77","1,300.88","1,165.31",10.32B,12.03%,7.1681483711962475,0.39043344276616576,1.5796042438003899
2005-12-01,1379.37,"1,295.56","1,383.14","1,288.98",10.33B,6.31%,7.229382152174345,0.431531028899907,1.7808349494305808
2006-01-01,1399.83,"1,383.32","1,426.21","1,285.63",10.21B,1.48%,7.244106079658875,0.4060224739260576,1.6559345598969986
2006-02-01,1371.59,"1,390.43","1,398.19","1,299.73",7.21B,-2.02%,7.223725929806865,0.3046746910828766,1.1596940802439881
2006-03-01,1359.6,"1,377.46","1,379.30","1,296.78",7.13B,-0.87%,7.2149458178219605,0.34211330142908913,1.3430089336581363
2006-04-01,1419.73,"1,362.35","1,458.67","1,361.14",6.89B,4.42%,7.258221991671173,0.44334984016909207,1.8387047163718457
2006-05-01,1317.7,"1,419.64","1,464.70","1,295.47",5.30B,-7.19%,7.183643071551207,0.3061305286400442,1.1668224604354283
2006-06-01,1295.15,"1,308.44","1,319.05","1,192.09",4.46B,-1.71%,7.166381797541678,0.2504996313479326,0.8944306785798646
2006-07-01,1297.82,"1,294.57","1,316.12","1,231.05",3.76B,0.21%,7.168441212763347,0.15516443108249245,0.4276302791992385
2006-08-01,1352.74,"1,296.71","1,361.48","1,277.31",4.51B,4.23%,7.209887444146602,0.22209253441873944,0.7553378340180373
2006-09-01,1371.41,"1,354.77","1,378.99","1,323.90",5.24B,1.38%,7.223594686642259,0.11616102255690208,0.23665352951750085
2006-10-01,1364.55,"1,370.27","1,380.91","1,303.62",4.81B,-0.50%,7.2185799829361805,0.16403533795021286,0.4710658922486753
2006-11-01,1432.21,"1,372.03","1,434.85","1,363.71",5.15B,4.96%,7.26697398481351,0.0988256136172625,0.1517722286557066
2006-12-01,1434.46,"1,433.40","1,445.51","1,373.03",4.26B,0.16%,7.268543750752409,0.03916159857806356,-0.14036735852095172
2007-01-01,1360.23,"1,438.89","1,439.71","1,345.08",4.24B,-5.17%,7.215409082078379,-0.028696997580496486,-0.47263098937323217
2007-02-01,1417.34,"1,367.07","1,471.04","1,362.04",4.38B,4.20%,7.256537154451529,0.03281122464466346,-0.1714614043725771
2007-03-01,1452.55,"1,407.19","1,459.69","1,375.84",5.81B,2.48%,7.281075911541512,0.06613009371955147,-0.008318500725615288
2007-04-01,1542.24,"1,456.19","1,565.03","1,452.56",7.85B,6.17%,7.340991184035658,0.08276919236448421,0.07315337819384285
2007-05-01,1700.91,"1,550.39","1,702.01","1,546.60",8.74B,10.29%,7.438918680943165,0.25527560939195837,0.9178158338234362
2007-06-01,1743.6,"1,712.97","1,813.84","1,707.75",10.04B,2.51%,7.463707220364237,0.297325422822559,1.123709036424709
2007-07-01,1933.27,"1,741.41","2,015.48","1,736.63",10.32B,10.88%,7.566968148709136,0.3985269359457888,1.6192333192952046
2007-08-01,1873.24,"1,920.07","1,928.64","1,626.87",8.62B,-3.11%,7.53542483091441,0.32553738676780775,1.2618464295416973
2007-09-01,1946.48,"1,876.92","1,952.39","1,805.88",6.98B,3.91%,7.573777892145425,0.35018320550316595,1.3825225071782414
2007-10-01,2064.85,"1,948.78","2,070.86","1,875.23",9.68B,6.08%,7.632812863531595,0.4142328805954145,1.696136091982336
2007-11-01,1906.0,"2,085.33","2,085.45","1,745.26",7.39B,-7.69%,7.552762084214147,0.2857880994006372,1.0672175498998846
2007-12-01,1897.13,"1,907.95","1,972.37","1,808.86",5.45B,-0.47%,7.548097496843713,0.27955374609130423,1.036691588800797
2008-01-01,1624.68,"1,891.45","1,892.50","1,570.87",6.33B,-14.36%,7.39306615229502,0.17765707021664134,0.5377635028323899
2008-02-01,1711.62,"1,645.05","1,739.60","1,619.65",5.77B,5.35%,7.445195569447518,0.1886584149959889,0.5916306172080341
2008-03-01,1703.99,"1,676.30","1,709.31","1,537.53",6.08B,-0.45%,7.44072783882744,0.15965192728592825,0.44960290855492724
2008-04-01,1825.47,"1,701.64","1,831.84","1,694.53",6.14B,7.13%,7.509592767106915,0.16860158307125772,0.4934241087336547
2008-05-01,1852.02,"1,851.64","1,901.13","1,791.40",5.93B,1.45%,7.524032214283883,0.08511353334071803,0.08463223700929991
2008-06-01,1674.92,"1,848.30","1,853.50","1,669.69",6.32B,-9.56%,7.4235206819245345,-0.04018653843970288,-0.52888851279422
2008-07-01,1594.67,"1,675.70","1,681.45","1,488.75",6.81B,-4.79%,7.374422097261177,-0.1925460514479589,-1.2749034298832833
2008-08-01,1474.24,"1,578.55","1,597.31","1,466.46",4.79B,-7.55%,7.295897881747552,-0.23952694916685768,-1.5049412517725858
2008-09-01,1448.06,"1,453.14","1,503.83","1,366.88",8.27B,-1.78%,7.277980008551284,-0.2957978835941413,-1.7804669190082072
2008-10-01,1113.06,"1,453.40","1,458.68",892.16,10.08B,-23.13%,7.014868258178336,-0.6179446053532587,-3.3578299282390045
2008-11-01,1076.07,"1,117.13","1,217.82",914.02,11.20B,-3.32%,6.981070794367777,-0.5716912898463704,-3.131354648476882
2008-12-01,1124.47,"1,074.00","1,201.14",997.00,10.43B,4.50%,7.025067092519704,-0.5230304043240093,-2.8930909144855717
2009-01-01,1162.11,"1,132.87","1,228.56","1,085.72",7.23B,3.35%,7.05799259730324,-0.33507355499178004,-1.9727767798289035
2009-02-01,1063.03,"1,145.87","1,227.73","1,036.67",10.35B,-8.53%,6.968878599956884,-0.4763169694906333,-2.6643627010245723
2009-03-01,1206.26,"1,044.28","1,256.70",992.69,11.49B,13.47%,7.0952799427742725,-0.3454478960531677,-2.0235738258023006
